Name,Exchange,Ticker,IESG,A200
INSURANCE AUSTRALIA GROUP LTD,ASX,IAG,1.48%,0.67053658%
COMPUTERSHARE LTD,ASX,CPU,1.4%,0.60820322%
BREVILLE GROUP LTD,ASX,BRG,0.25%,0.10944059%
PERSEUS MINING LTD,ASX,PRU,0.3%,0.13341507%
ENDEAVOUR GROUP LTD/AUSTRALIA,ASX,EDV,0%,0.31396332%
WEST AFRICAN RESOURCES LTD,ASX,WAF,0.13%,0.05319263%
AMCOR PLC,ASX,AMC,0%,0.36130346%
COMMONWEALTH BANK OF AUSTRALIA,ASX,CBA,11.15%,8.60984196%
DEXUS STAPLED UNITS,ASX,DXS,0.79%,0.35099876%
FISHER & PAYKEL HEALTHCARE COR,ASX,FPH,0%,0.17060467%
PALADIN ENERGY LTD,ASX,PDN,0%,0.16996912%
MONADELPHOUS GROUP LTD,ASX,MND,0%,0.05520997%
RELIANCE WORLDWIDE CORP LTD,ASX,RWC,0%,0.16382759%
PERPETUAL LTD,ASX,PPT,0.25%,0.11896275%
DATA#3 LTD,ASX,DTL,0%,0.0491288%
BLUESCOPE STEEL LTD,ASX,BSL,1.01%,0.45889932%
SONIC HEALTHCARE LTD,ASX,SHL,1.27%,0.57588467%
LYNAS RARE EARTHS LTD,ASX,LYC,0.53%,0.22226559%
ILUKA RESOURCES LTD,ASX,ILU,0.3%,0.12598015%
LIFE360 INC,ASX,360,0%,0.08575%
CHAMPION IRON LTD,ASX,CIA,0.27%,0.11087411%
BLOCK INC,ASX,SQ2,0%,0.16326839%
AUSTRALIAN AGRICULTURAL COMPANY LT,ASX,AAC,0.02%,0%
PEXA GROUP LTD,ASX,PXA,0%,0.06639334%
NIB HOLDINGS LTD/AUSTRALIA,ASX,NHF,0%,0.16087482%
NICKEL INDUSTRIES LTD,ASX,NIC,0%,0.06511572%
YANCOAL AUSTRALIA LTD,ASX,YAL,0%,0.07146558%
MOUNT GIBSON IRON LTD,ASX,MGX,0.02%,0%
HUB24 LTD,ASX,HUB,0.29%,0.11853164%
AGL ENERGY LTD,ASX,AGL,0%,0.22424453%
HOMECO DAILY NEEDS REIT,ASX,HDN,0%,0.08785451%
VIVA ENERGY GROUP LTD,ASX,VEA,0%,0.17811783%
AURIZON HOLDINGS LTD,ASX,AZJ,0%,0.30246936%
GPT GROUP STAPLED UNITS,ASX,GPT,0.81%,0.36431536%
BOSS ENERGY LTD,ASX,BOE,0%,0.08407442%
AUD CASH,,AUD,0.47%,1.09396348%
QANTAS AIRWAYS LTD,ASX,QAN,0%,0.407572%
AUB GROUP LTD,ASX,AUB,0.3%,0.12148855%
ELDERS LTD,ASX,ELD,0.15%,0.06574302%
ASX LTD,ASX,ASX,1.21%,0.5388527%
BEGA CHEESE LTD,ASX,BGA,0.1%,0.04491962%
NINE ENTERTAINMENT CO HOLDINGS LTD,ASX,NEC,0.22%,0.09780555%
CREDIT CORP GROUP LTD,ASX,CCP,0.11%,0.04951728%
WESTPAC BANKING CORP,ASX,WBC,0%,3.95055317%
SANTOS LTD,ASX,STO,0%,1.12097634%
CHARTER HALL GROUP,ASX,CHC,0%,0.266432%
CENTURIA CAPITAL GROUP,ASX,CNI,0%,0.0504817%
