Holding,Symbol,Weighting
Prudential plc,PRU,0.1%
Transurban Group Ltd.,TCL,0.1%
Petroleo Brasileiro SA Pfd,PETR4,0.09%
BYD Company Limited Class H,1211,0.09%
Bridgestone Corporation,5108,0.09%
United Overseas Bank Limited,U11,0.09%
Kuwait Finance House K.S.C.,KFH,0.09%
Barrick Gold Corporation,ABX,0.09%
RWE AG,RWE,0.09%
Trip.com Group Ltd.,9961,0.09%
ORIX Corporation,8591,0.09%
Evolution AB,EVO,0.09%
Hexagon AB Class B,HEXA.B,0.09%
Publicis Groupe SA,PUB,0.09%
Sandvik AB,SAND,0.09%
Renesas Electronics Corporation,6723,0.09%
Tesco PLC,TSCO,0.09%
Haleon PLC,HLN,0.09%
Thomson Reuters Corporation,TRI,0.09%
Fairfax Financial Holdings Limited,FFH,0.09%
Skandinaviska Enskilda Banken AB Class A,SEB.A,0.09%
"Mitsui Fudosan Co., Ltd.",8801,0.09%
Marubeni Corporation,8002,0.09%
Sumitomo Corporation,8053,0.09%
"Restaurant Brands International, Inc.",QSR,0.09%
CGI Inc. Class A,GIB.A,0.09%
"Li Auto, Inc. Class A",2015,0.09%
National Bank of Kuwait K.S.C.,NBK,0.09%
Xiaomi Corp. Class B,1810,0.09%
Petroleo Brasileiro SA Sponsored ADR Pfd,PBR.A,0.08%
"Dai-ichi Life Holdings,Inc.",8750,0.08%
Telefonica SA,TEF,0.08%
Wal-Mart de Mexico SAB de CV,WALMEX,0.08%
"Mitsubishi Heavy Industries, Ltd.",7011,0.08%
arGEN-X SE,ARGX,0.08%
Agnico Eagle Mines Limited,AEM,0.08%
Repsol SA,REP,0.08%
Dollarama Inc.,DOL,0.08%
Swedbank AB Class A,SWED.A,0.08%
Cenovus Energy Inc.,CVE,0.08%
Swiss Life Holding AG,SLHN,0.08%
HCL Technologies Limited,532281,0.08%
Kia Corp.,000270,0.08%
Orange SA,ORA,0.08%
"MS&AD Insurance Group Holdings, Inc.",8725,0.08%
NAVER Corp.,035420,0.08%
America Movil SAB de CV Class B,AMXB,0.08%
Merck KGaA,MRK,0.08%
Mahindra & Mahindra Ltd.,500520,0.08%
FUJIFILM Holdings Corp,4901,0.08%
"Celltrion, Inc.",068270,0.08%
Universal Music Group N.V.,UMG,0.08%
Lasertec Corp.,6920,0.08%
Petroleo Brasileiro SA,PETR3,0.08%
Equinor ASA,EQNR,0.08%
