Holding,Symbol,Weighting
Oji Holdings Corp.,3861,0.01%
Industrial and Commercial Bank of China Limited Class A,601398,0.01%
Sofina SA,SOF,0.01%
"China Merchants Port Holdings Co., Ltd.",144,0.01%
Enka Insaat ve Sanayi A.S.,ENKAI.E,0.01%
CelcomDigi Berhad,6947,0.01%
"Bank of Ningbo Co., Ltd. Class A",002142,0.01%
Kingsoft Corp. Ltd.,3888,0.01%
InPost S.A.,INPST,0.01%
Grupo Comercial Chedraui SAB de CV Class B,CHDRAUIB,0.01%
Arabian Internet and Communications Services Company,7202,0.01%
Worldline SA,WLN,0.01%
Japan Hotel Reit Investment Corporation,8985,0.01%
"Konica Minolta, Inc.",4902,0.01%
Rinnai Corporation,5947,0.01%
Tosoh Corporation,4042,0.01%
Company for Cooperative Insurance,8010,0.01%
"Kansai Paint Co., Ltd.",4613,0.01%
ALS Ltd.,ALQ,0.01%
Mitsubishi Logistics Corporation,9301,0.01%
HUTCHMED (China) Limited,13,0.01%
SalMar ASA,SALM,0.01%
Bank of Baroda,532134,0.01%
Americana Restaurants International PLC,AMR,0.01%
L&T Technology Services Ltd.,540115,0.01%
"DMG MORI CO., LTD.",6141,0.01%
Charter Hall Group,CHC,0.01%
"East Money Information Co., Ltd Class A",300059,0.01%
BRF SA,BRFS3,0.01%
Marel hf.,MAREL,0.01%
"Mabuchi Motor Co., Ltd.",6592,0.01%
"Shanghai Pudong Development Bank Co., Ltd. Class A",600000,0.01%
Domino\'s Pizza Enterprises Limited,DMP,0.01%
Barwa Real Estate Co.,BRES,0.01%
China Conch Venture Holdings Ltd.,586,0.01%
Sweco AB Class B,SWEC.B,0.01%
Ushio Inc.,6925,0.01%
Indian Railway Catering & Tourism Corp. Ltd.,542830,0.01%
Azbil Corporation,6845,0.01%
Henderson Land Development Co. Ltd.,12,0.01%
"Square Enix Holdings Co., Ltd.",9684,0.01%
COMSYS Holdings Corporation,1721,0.01%
Open House Group Co. Ltd,3288,0.01%
KOREA INVESTMENT HOLDINGS CO LTD,071050,0.01%
Shanxi Xinghuacun Fen Wine Factory Co. Ltd. Class A,600809,0.01%
Nihon M&A Center Holdings Inc.,2127,0.01%
"Tokyo Seimitsu Co., Ltd",7729,0.01%
"Credit Saison Co., Ltd.",8253,0.01%
Metropolitan Bank & Trust Co.,MBT,0.01%
Bharat Heavy Electricals Limited,500103,0.01%
"Sumitomo Bakelite Co., Ltd.",4203,0.01%
China CSSC Holdings Limited Class A,600150,0.01%
Biocon Limited,532523,0.01%
Lynas Rare Earths Limited,LYC,0.01%
"Oneness Biotech Co., Ltd.",4743,0.01%
Tower Semiconductor Ltd,TSEM,0.01%
Budweiser Brewing Co. APAC Ltd.,1876,0.01%
ACC Limited,500410,0.01%
IGM Financial Inc.,IGM,0.01%
JGC Holdings Corporation,1963,0.01%
Talanx AG,TLX,0.01%
Whitehaven Coal Limited,WHC,0.01%
Industrias Penoles SAB de CV,PE&OLES,0.01%
"Miura Co., Ltd.",6005,0.01%
"Bilibili, Inc. Class Z",9626,0.01%
Public Power Corporation S.A.,PPC,0.01%
APL Apollo Tubes Limited,533758,0.01%
Haseko Corporation,1808,0.01%
Infrastrutture Wireless Italiane S.p.A.,INW,0.01%
OCI NV,OCI,0.01%
GS Yuasa Corporation,6674,0.01%
China Petroleum & Chemical Corporation Class A,600028,0.01%
Prada S.p.A.,1913,0.01%
IDFC First Bank Ltd.,539437,0.01%
Swire Properties Limited,1972,0.01%
"Kagome Co., Ltd.",2811,0.01%
ZTE Corporation Class H,763,0.01%
Sega Sammy Holdings Inc.,6460,0.01%
Axiata Group Bhd.,6888,0.01%
Daicel Corporation,4202,0.01%
Dukhan Bank Q.P.S.C.,DUBK,0.01%
Glanbia Plc,GL9,0.01%
Lotte Chemical Corp.,011170,0.01%
Dallah Healthcare Co.,4004,0.01%
People\'s Insurance Co. (Group) of China Ltd. Class H,1339,0.01%
S.P.E.E.H. Hidroelectrica S.A.,H2O,0.01%
"Korean Air Lines Co., Ltd.",003490,0.01%
Abrdn plc,ABDN,0.01%
JD Sports Fashion Plc,JD,0.01%
Torrent Power Limited,532779,0.01%
Anglo American Platinum Limited,AMS,0.01%
China Power International Development Ltd,2380,0.01%
"BayCurrent Consulting, Inc.",6532,0.01%
"NGK Insulators, Ltd.",5333,0.01%
Orbia Advance Corp. SAB de CV,ORBIA,0.01%
"COSCO SHIPPING Holdings Co., Ltd. Class H",1919,0.01%
Investec Limited,INL,0.01%
"NARI Technology Co., Ltd. Class A",600406,0.01%
Dar Al Arkan Real Estate Development Co.,4300,0.01%
PT GoTo Gojek Tokopedia Tbk,GOTO,0.01%
thyssenkrupp AG,TKA,0.01%
Shimizu Corporation,1803,0.01%
Wacker Chemie AG,WCH,0.01%
"JD Logistics, Inc.",2618,0.01%
CSR Limited,CSR,0.01%
"Rakuten Bank, Ltd.",5838,0.01%
"HYUNDAI GLOVIS Co., Ltd.",086280,0.01%
Mori Hills Reit Investment Corporation,3234,0.01%
Bendigo & Adelaide Bank Ltd.,BEN,0.01%
"Sohgo Security Services Co., Ltd.",2331,0.01%
"Haitong Securities Co., Ltd. Class H",6837,0.01%
Royal Vopak NV,VPK,0.01%
Saudia Dairy & Foodstuff Co.,2270,0.01%
GLP J-REIT,3281,0.01%
Kawasaki Heavy Industries Ltd.,7012,0.01%
Bank of China Limited Class A,601988,0.01%
El Puerto de Liverpool SAB de CV,LIVEPOLC.1,0.01%
"Yamaguchi Financial Group, Inc.",8418,0.01%
AutoStore Holdings Ltd.,AUTO,0.01%
"Nippon Shinyaku Co., Ltd.",4516,0.01%
AMMB Holdings Bhd.,1015,0.01%
Coromandel International Limited,506395,0.01%
HANJIN KAL Corp.,180640,0.01%
Perpetual Limited,PPT,0.01%
Winbond Electronics Corp.,2344,0.01%
PERSOL HOLDINGS CO. LTD.,2181,0.01%
Fraport AG,FRA,0.01%
Grupo Carso SAB de CV Class A1,GCARSOA1,0.01%
Seven Group Holdings Limited,SVW,0.01%
China National Building Material Co. Ltd. Class H,3323,0.01%
JG Summit Holdings Inc.,JGS,0.01%
PT Indofood Sukses Makmur Tbk,INDF,0.01%
"Foxconn Technology Co., Ltd.",2354,0.01%
Innolux Corp.,3481,0.01%
"Zhejiang Leapmotor Technology Co., Ltd. Class H",9863,0.01%
Ping An Bank Co. Ltd. Class A,000001,0.01%
Mobile Telecommunications Company K.S.C.P,ZAIN,0.01%
MOTOR OIL (HELLAS) CORINTH REFINERIES S.A.,MOH,0.01%
Petronas Gas Bhd.,6033,0.01%
AB Sagax Class B,SAGA.B,0.01%
Mitsubishi Motors Corporation,7211,0.01%
Tata Motors Limited Class A,570001,0.01%
"Great Wall Motor Co., Ltd. Class H",2333,0.01%
Advance Residence Investment Corporation,3269,0.01%
Venture Corporation Limited,V03,0.01%
"Kakaku.com, Inc.",2371,0.01%
"Zhuzhou CRRC Times Electric Co., Ltd. Class H",3898,0.01%
CJ CheilJedang Corporation,097950,0.01%
"ASPEED Technology, Inc.",5274,0.01%
"Weichai Power Co., Ltd. Class H",2338,0.01%
LIC Housing Finance Ltd,500253,0.01%
Tatung Co.,2371,0.01%
"Coway Co., Ltd.",021240,0.01%
China Longyuan Power Group Corporation Ltd Class H,916,0.01%
NHPC Limited,533098,0.01%
Hargreaves Lansdown plc,HL,0.01%
Axfood AB,AXFO,0.01%
Gjensidige Forsikring ASA,GJF,0.01%
"SITC International Holdings Co., Ltd.",1308,0.01%
"Komercni banka, a.s.",KOMB,0.01%
NMDC Limited,526371,0.01%
Nichirei Corporation,2871,0.01%
Genting Singapore Limited,G13,0.01%
Saudi Investment Bank,1030,0.01%
Okuma Corp.,6103,0.01%
Contact Energy Limited,CEN,0.01%
Orora Ltd.,ORA,0.01%
China Tourism Group Duty Free Corporation Limited Class A,601888,0.01%
"Ryohin Keikaku Co., Ltd.",7453,0.01%
BKW AG,BKW,0.01%
"LG Innotek Co., Ltd",011070,0.01%
Ooredoo Q.P.S.C,ORDS,0.01%
"Mcdonalds Holdings Company Japan, Ltd.",2702,0.01%
NAURA Technology Group Co Ltd Class A,002371,0.01%
IPCA Laboratories Limited,524494,0.01%
Allos S.A.,ALOS3,0.01%
"HYBE Co., Ltd.",352820,0.01%
TOTVS S.A.,TOTS3,0.01%
Sixt SE,SIX2,0.01%
"CyberAgent, Inc.",4751,0.01%
CRRC Corporation Limited Class A,601766,0.01%
"Mitsubishi Gas Chemical Company, Inc.",4182,0.01%
Schibsted Asa Class A,SCHA,0.01%
Sibanye Stillwater Limited,SSW,0.01%
Incitec Pivot Limited,IPL,0.01%
"MIRAE ASSET SECURITIES CO., LTD.",006800,0.01%
SCSK Corporation,9719,0.01%
Banque Cantonale Vaudoise,BCVN,0.01%
Alpha Services & Holdings SA,ALPHA,0.01%
Oracle Corporation Japan,4716,0.01%
Multiply Group PJSC,MULTIPLY,0.01%
Bosideng International Holdings Limited,3998,0.01%
Harvey Norman Holdings Ltd,HVN,0.01%
PetroChina Company Limited Class A,601857,0.01%
Air Water Inc.,4088,0.01%
Solar Industries India Limited,532725,0.01%
PLUXEE N.V.,PLX,0.01%
"Morinaga Milk Industry Co., Ltd.",2264,0.01%
AU Small Finance Bank Limited,540611,0.01%
Tiger Brands Limited,TBS,0.01%
Greek Organisation of Football Prognostics SA,OPAP,0.01%
Astral Limited,532830,0.01%
Wharf (Holdings) Ltd.,4,0.01%
"GMO Payment Gateway, Inc.",3769,0.01%
Yanbu National Petrochemical Co.,2290,0.01%
Acciona SA,ANA,0.01%
"Iyogin Holdings,Inc.",5830,0.01%
LaSalle LOGIPORT REIT,3466,0.01%
Jindal Steel & Power Ltd.,532286,0.01%
Natura & Co Holding SA,NTCO3,0.01%
Orient Overseas (International) Limited,316,0.01%
Eneva S.A.,ENEV3,0.01%
Nahdi Medical Company,4164,0.01%
Eregli Demir Ve Celik Fabrikalari T.A.S.,EREGL.E,0.01%
Mouwasat Medical Services Co.,4002,0.01%
"Alsea, S.A.B. de C.V.",ALSEA,0.01%
New Hope Corporation Limited,NHC,0.01%
PT Kalbe Farma Tbk,KLBF,0.01%
Hapvida Participacoes e Investimentos SA,HAPV3,0.01%
MISC Bhd,3816,0.01%
"JAPAN POST INSURANCE Co., Ltd.",7181,0.01%
"Yokohama Rubber Co., Ltd.",5101,0.01%
DWS Group GmbH & Co. KGaA,DWS,0.01%
BOC Aviation Limited,2588,0.01%
HANWHA SOLUTIONS CORPORATION,009830,0.01%
Federal Bank Ltd. (India),500469,0.01%
ASMPT Limited,522,0.01%
Chow Tai Fook Jewellery Group Limited,1929,0.01%
Qatar Navigation QSC,QNNS,0.01%
Hypera S.A.,HYPE3,0.01%
RHB Bank Bhd.,1066,0.01%
Tokyo Century Corporation,8439,0.01%
Longfor Group Holdings Ltd.,960,0.01%
Dalmia Bharat Ltd.,542216,0.01%
Ackermans & van Haaren NV,ACKB,0.01%
CapitaLand Ascott Trust,HMN,0.01%
"Net One Systems Co., Ltd.",7518,0.01%
Toyo Seikan Group Holdings Ltd.,5901,0.01%
Melisron Limited,MLSR,0.01%
"HD HYUNDAI CO.,LTD.",267250,0.01%
"Asahi Intecc Co., Ltd.",7747,0.01%
"Huatai Securities Co., Ltd. Class H",6886,0.01%
Turkiye Is Bankasi Anonim Sirketi Class C,ISCTR.E,0.01%
"Casio Computer Co., Ltd.",6952,0.01%
"Nagoya Railroad Co., Ltd.",9048,0.01%
SBI Cards & Payment Services Ltd,543066,0.01%
"China Minsheng Banking Corp., Ltd. Class H",1988,0.01%
MONETA Money Bank AS,MONET,0.01%
Keio Corporation,9008,0.01%
KunLun Energy Co. Ltd.,135,0.01%
Embassy Office Parks REIT,542602,0.01%
"Brother Industries, Ltd.",6448,0.01%
Borouge Plc,BOROUGE,0.01%
Mr Price Group Limited,MRP,0.01%
Luxshare Precision Industry Co. Ltd. Class A,002475,0.01%
"Teco Electric & Machinery Co., Ltd.",1504,0.01%
Mapletree Logistics Trust,M44U,0.01%
China International Capital Corp. Ltd. Class H,3908,0.01%
Jiangxi Copper Company Limited Class H,358,0.01%
Renishaw plc,RSW,0.01%
KDX Realty Investment Corporation,8972,0.01%
"Nomura Real Estate Holdings, Inc.",3231,0.01%
Frasers Logistics & Commercial Trust,BUOU,0.01%
OMV Petrom SA,SNP,0.01%
Berger Paints India Limited,509480,0.01%
Corporacion Inmobiliaria Vesta S.A.B. de C.V.,VESTA,0.01%
CCR S.A.,CCRO3,0.01%
Saudi Aramco Base Oil Company - Luberef,2223,0.01%
"Bank of Communications Co., Ltd. Class A",601328,0.01%
ESR Group Limited,1821,0.01%
"AMADA Co., Ltd.",6113,0.01%
Qantas Airways Limited,QAN,0.01%
Shin Kong Financial Holding Co. Ltd.,2888,0.01%
Ayala Corp.,AC,0.01%
Holmen AB Class B,HOLM.B,0.01%
Multiplan Empreendimentos Imobiliarios SA,MULT3,0.01%
Mivne Real Estate (K.D) Ltd.,MVNE,0.01%
Haitian International Holdings Limited,1882,0.01%
Polycab India Ltd.,542652,0.01%
NOF Corporation,4403,0.01%
Want Want China Holdings Limited,151,0.01%
GCL Technology Holdings Limited,3800,0.01%
ICL Group Ltd.,ICL,0.01%
Jardine Cycle & Carriage Limited,C07,0.01%
Samvardhana Motherson International Limited,517334,0.01%
"Shaanxi Coal Industry Co., Ltd. Class A",601225,0.01%
Abu Dhabi Ports Company PJSC,ADPORTS,0.01%
Soitec SA,SOI,0.01%
"HOTEL SHILLA CO., LTD.",008770,0.01%
Nestle (Malaysia) Bhd.,4707,0.01%
TOMRA Systems ASA,TOM,0.01%
"Japan Logistics Fund, Inc.",8967,0.01%
AEON REIT Investment Corp.,3292,0.01%
"Sundrug Co., Ltd.",9989,0.01%
Toda Corporation,1860,0.01%
"Regional, S.A.B. de C.V. Class A",RA,0.01%
Mphasis Limited,526299,0.01%
Qatar Fuel Q.S.C (WOQOD),QFLS,0.01%
BIG Shopping Centers Ltd.,BIG,0.01%
Challenger Limited,CGF,0.01%
Frontier Real Estate Investment Corporation,8964,0.01%
Ford Otomotiv Sanayi A.S.,FROTO.E,0.01%
Bank of Queensland Limited,BOQ,0.01%
a2 Milk Company Limited,ATM,0.01%
Gamuda Bhd.,5398,0.01%
Goldwin Inc.,8111,0.01%
China Gas Holdings Limited,384,0.01%
Maruichi Steel Tube Ltd.,5463,0.01%
OUTsurance Group Limited,OUT,0.01%
"Sankyo Co., Ltd.",6417,0.01%
"Feng Tay Enterprise Co., Ltd.",9910,0.01%
Falabella S.A.,FALABELLA,0.01%
FILA Holdings Corp.,081660,0.01%
Mapfre SA,MAP,0.01%
Kinden Corporation,1944,0.01%
"Nien Made Enterprise Co., Ltd.",8464,0.01%
A2A S.p.A.,A2A,0.01%
CK Infrastructure Holdings Limited,1038,0.01%
Wanhua Chemical Group Co. Ltd. Class A,600309,0.01%
"Kumho Petrochemical Co., Ltd.",011780,0.01%
Lojas Renner S.A.,LREN3,0.01%
"Mebuki Financial Group, Inc.",7167,0.01%
"Denka Co., Ltd.",4061,0.01%
HOCHTIEF Aktiengesellschaft,HOT,0.01%
"Sumitomo Chemical Co., Ltd.",4005,0.01%
"SK Biopharmaceuticals Co., Ltd.",326030,0.01%
"ITO EN,Ltd.",2593,0.01%
"Korea Aerospace Industries, Ltd.",047810,0.01%
China Shenhua Energy Co. Ltd. Class A,601088,0.01%
Marico Limited,531642,0.01%
"HANKOOK TIRE & TECHNOLOGY Co., Ltd.",161390,0.01%
Growthpoint Properties Limited,GRT,0.01%
"Aozora Bank, Ltd.",8304,0.01%
BIPROGY Inc.,8056,0.01%
Suntec Real Estate Investment Trust,T82U,0.01%
PT United Tractors Tbk,UNTR,0.01%
Hong Leong Bank Bhd,5819,0.01%
Supreme Industries Limited,509930,0.01%
Beach Energy Limited,BPT,0.01%
"China Pacific Insurance (Group) Co., Ltd. Class A",601601,0.01%
"Marui Group Co., Ltd.",8252,0.01%
"Tokyo Tatemono Co., Ltd.",8804,0.01%
Kinnevik AB Class B,KINV.B,0.01%
"Fuyo General Lease Co., Ltd.",8424,0.01%
JEOL Ltd.,6951,0.01%
Wipro Limited,507685,0.01%
Iluka Resources Limited,ILU,0.01%
"Sumitomo Heavy Industries, Ltd.",6302,0.01%
Kingboard Holdings Limited,148,0.01%
"MERLIN Properties SOCIMI, S.A.",MRL,0.01%
Petronet Lng Limited,532522,0.01%
Itau Unibanco Holding S.A.,ITUB3,0.01%
Hongkong Land Holdings Limited,H78,0.01%
Taiheiyo Cement Corporation,5233,0.01%
Enel Americas S.A.,ENELAM,0.01%
Hellenic Telecommunications Organization SA,HTO,0.01%
Iwatani Corporation,8088,0.01%
Yadea Group Holdings Ltd.,1585,0.01%
"Giant Manufacturing Co., Ltd.",9921,0.01%
Kotak Mahindra Bank Limited,500247,0.01%
ENGIE Brasil Energia S.A.,EGIE3,0.01%
Arion Banki hf,ARION,0.01%
"L & F Co., Ltd.",066970,0.01%
Taiwan High Speed Rail Corporation,2633,0.01%
Agility Public Warehousing Co. K.S.C.,AGLTY,0.01%
DiaSorin S.p.A.,DIA,0.01%
"Ezaki Glico Co., Ltd.",2206,0.01%
Shandong Weigao Group Medical Polymer Co. Ltd. Class H,1066,0.01%
"Hyundai Marine & Fire Insurance Co., Ltd.",001450,0.01%
China State Construction International Holdings Limited,3311,0.01%
Schibsted ASA Class B,SCHB,0.01%
AMP Limited,AMP,0.01%
Takara Holdings Inc.,2531,0.01%
"Naturgy Energy Group, S.A.",NTGY,0.01%
Kose Corporation,4922,0.01%
Gujarat Gas Ltd.,539336,0.01%
"SHIMAMURA Co., Ltd.",8227,0.01%
Oracle Financial Services Software Limited,532466,0.01%
PT Amman Mineral Internasional Tbk,AMMN,0.01%
"ULVAC, Inc.",6728,0.01%
Sahara International Petrochemical Company,2310,0.01%
"Nippon Kayaku Co., Ltd.",4272,0.01%
Old Mutual Ltd.,OMU,0.01%
New World Development Co. Ltd.,17,0.01%
Keppel REIT,K71U,0.01%
Johnson Matthey Plc,JMAT,0.01%
ADNOC Logistics & Services Plc,ADNOCLS,0.01%
L E Lundbergforetagen AB Class B,LUND.B,0.01%
Operadora de Sites Mexicanos SA de CV Series -A-1-,SITES1A.1,0.01%
Zhen Ding Technology Holding Limited,4958,0.01%
"SHO BOND Holdings Co., Ltd.",1414,0.01%
Sekisui House Reit. Inc.,3309,0.01%
"Horiba , Ltd.",6856,0.01%
"Cheng Shin Rubber Ind. Co., Ltd.",2105,0.01%
Aurobindo Pharma Ltd,524804,0.01%
Harmony Gold Mining Co. Ltd.,HAR,0.01%
"WuXi AppTec Co., Ltd. Class A",603259,0.01%
Linde India Ltd.,523457,0.01%
Ubisoft Entertainment SA,UBI,0.01%
Ocado Group PLC,OCDO,0.01%
Tata Elxsi Limited,500408,0.01%
Allegro.eu S.A.,ALE,0.01%
"Tsingtao Brewery Co., Ltd. Class H",168,0.01%
"THK Co., Ltd.",6481,0.01%
Sapporo Holdings Limited,2501,0.01%
LATAM Airlines Group SA,LTM,0.01%
Asia Cement Corporation,1102,0.01%
Aluminum Corporation of China Limited Class H,2600,0.01%
"Eclat Textile Co., Ltd.",1476,0.01%
Metcash Limited,MTS,0.01%
Hakuhodo Dy Holdings Incorporated,2433,0.01%
AIA Engineering Limited,532683,0.01%
"Sinopharm Group Co., Ltd. Class H",1099,0.01%
"Kingdee International Software Group Co., Ltd.",268,0.01%
Promotora y Operadora de Infraestructura SA,PINFRA,0.01%
"Zenkoku Hosho Co., Ltd.",7164,0.01%
"Lawson, Inc.",2651,0.01%
Xinyi Glass Holdings Limited,868,0.01%
"Huaneng Power International, Inc. Class H",902,0.01%
National Marine Dredging Company,NMDC,0.01%
Region Group,RGN,0.01%
Kimberly-Clark de Mexico SAB de CV Class A,KIMBERA,0.01%
Swatch Group Ltd. Registered,UHRN,0.01%
Qatar Gas Transport Co.,QGTS,0.01%
Alkem Laboratories Ltd.,539523,0.01%
"Yamazaki Baking Co., Ltd.",2212,0.01%
Amorepacific Corp.,090430,0.01%
"Hanmi Pharmaceutical Co., Ltd.",128940,0.01%
Mapletree Industrial Trust,ME8U,0.01%
NH Foods Limited,2282,0.01%
MOL Hungarian Oil & Gas Plc Class A,MOL,0.01%
United Breweries Limited,532478,0.01%
GPS Participacoes e Empreendimentos SA,GGPS3,0.01%
IOI Corporation Berhad,1961,0.01%
"ZOZO, Inc.",3092,0.01%
Fujikura Ltd,5803,0.01%
Nan Ya Printed Circuit Board Corporation,8046,0.01%
Ecopetrol SA,ECOPETROL,0.01%
ANA Holdings Inc.,9202,0.01%
Eurazeo SA,Other,0.01%
Yang Ming Marine Transport Corp.,2609,0.01%
"LG Display Co., Ltd",034220,0.01%
Jumbo S.A.,BELA,0.01%
Hang Lung Properties Limited,101,0.01%
Flight Centre Travel Group Limited,FLT,0.01%
Sembcorp Industries Ltd.,U96,0.01%
Pepkor Holdings Ltd.,PPH,0.01%
MACNICA HOLDINGS INC.,3132,0.01%
CTP N.V.,CTPNV,0.01%
"HMM CO.,LTD",011200,0.01%
Nanya Technology Corporation,2408,0.01%
Bank Aljazira,1020,0.01%
Wendel SE,MF,0.01%
Clicks Group Limited,CLS,0.01%
Kewpie Corporation,2809,0.01%
"Hyundai Engineering & Construction Co., Ltd",000720,0.01%
"MonotaRO Co., Ltd.",3064,0.01%
Banca Transilvania SA,TLV,0.01%
"S.F. Holding Co., Ltd. Class A",002352,0.01%
Zai Lab Ltd.,9688,0.01%
Mobile Telecommunications Co. Saudi Arabia,7030,0.01%
KGHM Polska Miedz S.A.,KGH,0.01%
"USS Co., Ltd.",4732,0.01%
Korea Electric Power Corporation,015760,0.01%
"SHIFT, Inc.",3697,0.01%
Celltrion Pharm Inc.,068760,0.01%
L&T Finance Holdings Ltd,533519,0.01%
ICICI Prudential Life Insurance Co. Ltd.,540133,0.01%
"Hitachi Construction Machinery Co., Ltd.",6305,0.01%
Piraeus Financial Holdings S.A.,TPEIR,0.01%
Emaar Development PJSC,EMAARDEV,0.01%
JCDecaux SE,DEC,0.01%
Nufarm Limited,NUF,0.01%
Lotus Bakeries NV,LOTB,0.01%
HOSHIZAKI Corp.,6465,0.01%
"Hachijuni Bank, Ltd.",8359,0.01%
Remy Cointreau SA,RCO,0.01%
GMR Airports Infrastructure Limited,532754,0.01%
"Takashimaya Company, Limited",8233,0.01%
China Resources Gas Group Limited,1193,0.01%
"Prologis Property Mexico, S.A. de C.V.",FIBRAPL14,0.01%
Thai Oil Public Co. Ltd.,TOP,0.01%
"Kamigumi Co., Ltd.",9364,0.01%
"China Vanke Co., Ltd Class H",2202,0.01%
GCC SAB de CV,GCC,0.01%
Sinotruk Hong Kong Ltd.,3808,0.01%
GS Holdings Corp.,078930,0.01%
UOL Group Limited,U14,0.01%
Indraprastha Gas Limited,532514,0.01%
Tata Communications Limited,500483,0.01%
ORION CORP.,271560,0.01%
CMOC Group Limited Class H,3993,0.01%
Maxis Bhd.,6012,0.01%
House Foods Group Inc.,2810,0.01%
POSCO INTERNATIONAL Corporation,047050,0.01%
"J. FRONT RETAILING Co., Ltd.",3086,0.01%
S-Oil Corporation,010950,0.01%
IDP Education Ltd.,IEL,0.01%
Chemical Works of Gedeon Richter Plc,RICHT,0.01%
"OBIC Business Consultants Co., Ltd.",4733,0.01%
"Ruentex Development Co., Ltd.",9945,0.01%
Tongcheng Travel Holdings Limited,780,0.01%
Empresas Copec S.A.,COPEC,0.01%
Abu Dhabi National Oil Company for Distribution PJSC,ADNOCDIST,0.01%
Toyo Tire Corporation,5105,0.01%
China Airlines Ltd.,2610,0.01%
Kadokawa Corporation,9468,0.01%
Power and Water Utility Company for Jubail and Yanbu (Marafiq),2083,0.01%
Sime Darby Plantation Bhd.,5285,0.01%
RTL Group S.A.,RRTL,0.01%
"Shanghai Baosight Software Co., Ltd. Class B",900926,0.01%
Patanjali Foods Limited,500368,0.01%
"PLDT, Inc.",TEL,0.01%
Luzhou Laojiao Company Limited Class A,000568,0.01%
Gruma SAB de CV Class B,GRUMAB,0.01%
Kyudenko Corporation,1959,0.01%
Fastighets AB Balder Class B,BALD.B,0.01%
Mapletree Pan Asia Commercial Trust,N2IU,0.01%
"Akeso, Inc.",9926,0.01%
Genting Bhd.,3182,0.01%
China Oilfield Services Limited Class H,2883,0.01%
Valeo SE,FR,0.01%
Reply S.p.A.,REY,0.01%
NEPI Rockcastle N.V,NRP,0.01%
Neoen SA,NEOEN,0.01%
Schaeffler India Ltd,505790,0.01%
PTT Global Chemical Public Company Limited,PTTGC,0.01%
Powerchip Semiconductor Manufacturing Corp.,6770,0.01%
Invincible Investment Corp.,8963,0.01%
Taiwan Business Bank,2834,0.01%
Industrial & Infrastructure Fund Investment Corporation,3249,0.01%
Telefonica Brasil S.A.,VIVT3,0.01%
"Yamada Holding Co., Ltd.",9831,0.01%
Country Garden Services Holdings Co. Ltd.,6098,0.01%
Mandatum Oyj,MANTA,0.01%
Nabtesco Corporation,6268,0.01%
Aspen Pharmacare Holdings Limited,APN,0.01%
FOOD & LIFE COMPANIES LTD.,3563,0.01%
"Cosmo Energy Holdings Co., Ltd.",5021,0.01%
PT Charoen Pokphand Indonesia Tbk,CPIN,0.01%
Bancolombia S.A.,BCOLOMBIA,0.01%
"Shenzhen Inovance Technology Co., Ltd Class A",300124,0.01%
CG Power & Industrial Solutions Ltd,500093,0.01%
"Jiangsu Hengrui Pharmaceuticals Co., Ltd. Class A",600276,0.01%
"Suzuken Co., Ltd.",9987,0.01%
A.P. Moller - Maersk A/S Class A,MAERSK.A,0.01%
TechnoPro Holdings Inc.,6028,0.01%
DIC Corporation,4631,0.01%
Pop Mart International Group Limited,9992,0.01%
Xinyi Solar Holdings Ltd.,968,0.01%
Bharat Forge Ltd,500493,0.01%
China National Nuclear Power Co. Ltd. Class A,601985,0.01%
Press Metal Aluminium Holdings Berhad,8869,0.01%
PharmaEssentia Corp.,6446,0.01%
Sino-American Silicon Products Inc.,5483,0.01%
"SAWAI GROUP HOLDINGS Co., Ltd.",4887,0.01%
HD KOREA SHIPBUILDING & OFFSHORE ENGINEERING CO. LTD.,009540,0.01%
Powertech Technology Inc.,6239,0.01%
"Hanwha Ocean Co., Ltd.",042660,0.01%
CITIC Securities Co. Ltd. Class A,600030,0.01%
Banco de Credito e Inversiones,BCI,0.01%
Flughafen Zurich AG,FHZN,0.01%
Deterra Royalties Ltd,DRR,0.01%
"RAKUS Co., Ltd.",3923,0.01%
Atlas Arteria,ALX,0.01%
PT Indah Kiat Pulp & Paper Tbk,INKP,0.01%
Saudi Tadawul Group Holding Company,1111,0.01%
Discovery Limited,DSY,0.01%
"Welcia Holdings Co., Ltd.",3141,0.01%
Jollibee Foods Corp.,JFC,0.01%
"Foxconn Industrial Internet Co., Ltd. Class A",601138,0.01%
voestalpine AG,VOE,0.01%
Reece Limited,REH,0.01%
Multichoice Group Ltd,MCG,0.01%
Yamaha Corporation,7951,0.01%
"Muyuan Foods Co., Ltd. Class A",002714,0.01%
Balkrishna Industries Limited,502355,0.01%
IHH Healthcare Bhd.,5225,0.01%
Sasa Polyester Sanayi A.S.,SASA.E,0.01%
Sino Biopharmaceutical Limited,1177,0.01%
Husqvarna AB Class B,HUSQ.B,0.01%
ORIX JREIT Inc.,8954,0.01%
"Samsung Engineering Co., Ltd.",028050,0.01%
Nippon Accommodations Fund Inc.,3226,0.01%
Industrial Bank Of Korea,024110,0.01%
PPB Group Bhd.,4065,0.01%
DKSH Holding AG,DKSH,0.01%
"SenseTime Group, Inc. Class B",20,0.01%
"Samsung Securities Co., Ltd.",016360,0.01%
"Tokyo Ohka Kogyo Co., Ltd.",4186,0.01%
Topsports International Holdings Limited,6110,0.01%
Jarir Marketing Co.,4190,0.01%
Italgas SpA,IG,0.01%
Alstom SA,ALO,0.01%
Kaneka Corporation,4118,0.01%
