Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","70,394,899.08","0.26","70,394,899.08","154,253.00","456.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AFL","AFLAC INC","Financials","Equity","70,058,726.10","0.26","70,058,726.10","822,865.00","85.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","69,454,404.25","0.26","69,454,404.25","198,583.00","349.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","68,436,491.56","0.25","68,436,491.56","283,123.00","241.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WEC","WEC ENERGY GROUP INC","Utilities","Equity","66,919,869.27","0.25","66,919,869.27","822,819.00","81.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","66,560,844.48","0.25","66,560,844.48","318,412.00","209.04","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","65,528,963.22","0.24","65,528,963.22","67,747.00","967.26","United States","NASDAQ","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","64,918,269.00","0.24","64,918,269.00","314,070.00","206.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALL","ALLSTATE CORP","Financials","Equity","64,856,827.32","0.24","64,856,827.32","376,287.00","172.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","64,403,918.28","0.24","64,403,918.28","262,959.00","244.92","United States","NASDAQ","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","63,396,976.95","0.24","63,396,976.95","211,077.00","300.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETR","ENTERGY CORP","Utilities","Equity","62,014,385.44","0.23","62,014,385.44","586,369.00","105.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","61,293,923.55","0.23","61,293,923.55","687,537.00","89.15","United States","NASDAQ","USD","1.00","USD","-"
