Name,Exchange,Ticker,IESG,DVDY,MVW,A200
CSR LTD,ASX,CSR,0.4%,0%,0%,0.18250794%
DE GREY MINING LTD,ASX,DEG,0%,0%,0%,0.08425669%
Atlas Arteria Ltd,ASX,ALX,0%,3.47%,1.29%,0.25284979%
AUD CASH,,AUD,0.47%,0%,0%,1.09396348%
AMP LTD,ASX,AMP,0%,0%,0%,0.1389198%
TPG TELECOM LTD,ASX,TPG,0%,0%,0%,0.07629599%
IGO LTD,ASX,IGO,0.48%,0%,1.23%,0.20857438%
RAMELIUS RESOURCES LTD,ASX,RMS,0.2%,0%,0%,0.0938153%
BORAL LTD,ASX,BLD,0.16%,0%,0%,0.08113684%
ABACUS GROUP UNIT,ASX,ABG,0.05%,0%,0%,0%
REGION RE LTD,ASX,RGN,0%,0%,0%,0.11525474%
STAR ENTERTAINMENT GRP LTD/THE,ASX,SGR,0%,0%,0%,0.05883888%
IRESS LTD,ASX,IRE,0.14%,0%,0%,0.06513086%
PEPPER MONEY LTD,ASX,PPM,0.03%,0%,0%,0%
REGIS RESOURCES LTD,ASX,RRL,0.15%,0%,0%,0.06731949%
NICK SCALI LTD,ASX,NCK,0.11%,0%,0%,0%
Westpac Banking Corp,ASX,WBC,0%,0%,1.25%,3.95055317%
ADBRI LTD,ASX,ABC,0.12%,0%,0%,0%
HARVEY NORMAN HOLDINGS LTD,ASX,HVN,0%,0%,0%,0.10810749%
AUSSIE BROADBAND LTD,ASX,ABB,0.08%,0%,0%,0%
SCENTRE GROUP,ASX,SCG,1.64%,0%,1.32%,0.74135848%
WESTGOLD RESOURCES LTD,ASX,WGX,0.12%,0%,0%,0%
WAYPOINT REIT LTD,ASX,WPR,0%,0%,0%,0.06793295%
Lottery Corp Ltd/The,ASX,TLC,0%,4.21%,1.32%,0.49716416%
SUNCORP GROUP LTD,ASX,SUN,2.01%,0%,1.38%,0.89676979%
DETERRA ROYALTIES LTD,ASX,DRR,0.2%,3.56%,0%,0.08730614%
Washington H Soul Pattinson & Co Ltd,ASX,SOL,0%,0%,1.28%,0.3410249%
XERO LTD,ASX,XRO,1.74%,0%,0%,0.73970678%
INSIGNIA FINANCIAL LTD,ASX,IFL,0%,0%,0%,0.05062527%
INCITEC PIVOT LTD,ASX,IPL,0.53%,0%,1.35%,0.23884934%
Endeavour Group Ltd/Australia,ASX,EDV,0%,3.88%,1.32%,0.31396332%
DATA#3 LTD,ASX,DTL,0%,0%,0%,0.0491288%
POLYNOVO LTD,ASX,PNV,0.14%,0%,0%,0.05839019%
AUB GROUP LTD,ASX,AUB,0.3%,4.02%,0%,0.12148855%
MACQUARIE GROUP LTD DEF,ASX,MQG,6.96%,4.34%,1.31%,3.23204764%
JUDO CAPITAL HOLDINGS LTD,ASX,JDO,0.09%,0%,0%,0.04950861%
Carsales.Com Ltd,ASX,CAR,0%,4.51%,1.26%,0.47297136%
SPARK NEW ZEALAND LTD,ASX,SPK,0%,0%,0%,0.04121723%
FISHER & PAYKEL HEALTHCARE COR,ASX,FPH,0%,0%,0%,0.17060467%
GOODMAN GROUP UNITS,ASX,GMG,5.4%,0%,1.35%,2.55784041%
TELIX PHARMACEUTICALS LTD,ASX,TLX,0%,0%,0%,0.13273102%
VIRGIN MONEY UK PLC,ASX,VUK,0%,0%,0%,0.11512148%
BENDIGO AND ADELAIDE BANK LTD,ASX,BEN,0.56%,0%,1.33%,0.24953686%
JAMES HARDIE INDUSTRIES CDI PLC,ASX,JHX,2.54%,0%,0%,1.10974079%
EVT LTD,ASX,EVT,0%,0%,0%,0.06148652%
CSL LTD,ASX,CSL,9.7%,0%,1.29%,5.90213586%
HUB24 LTD,ASX,HUB,0.29%,0%,0%,0.11853164%
AMPOL LTD,ASX,ALD,0.94%,0%,1.4%,0.42903998%
PERSEUS MINING LTD,ASX,PRU,0.3%,0%,0%,0.13341507%
LIFESTYLE COMMUNITIES LTD,ASX,LIC,0%,0%,0%,0.05283327%
RELIANCE WORLDWIDE CORP LTD,ASX,RWC,0%,0%,0%,0.16382759%
COMMONWEALTH BANK OF AUSTRALIA,ASX,CBA,11.15%,4.16%,1.3%,8.60984196%
BREVILLE GROUP LTD,ASX,BRG,0.25%,0%,0%,0.10944059%
SIMS LTD,ASX,SGM,0.2%,0%,0%,0.0851006%
BEGA CHEESE LTD,ASX,BGA,0.1%,0%,0%,0.04491962%
WESFARMERS LTD,ASX,WES,7.31%,4.69%,1.32%,3.28843886%
SILVER LAKE RESOURCES LTD,ASX,SLR,0%,0%,0%,0.05095167%
SIGMA HEALTHCARE LTD,ASX,SIG,0.12%,0%,0%,0%
EAGERS AUTOMOTIVE LTD,ASX,APE,0.2%,0%,0%,0.08487821%
Arcadium Lithium Plc,ASX,LTM,0%,0%,1.12%,0.11543619%
IPH LTD,ASX,IPH,0%,0%,0%,0.06104547%
RAMSAY HEALTH CARE LTD,ASX,RHC,0.96%,0%,1.24%,0.42782807%
BRAMBLES LTD,ASX,BXB,2.11%,4.55%,1.35%,0.9641634%
MEGAPORT LTD,ASX,MP1,0%,0%,0%,0.08966499%
RESOLUTE MINING LTD,ASX,RSG,0.09%,0%,0%,0%
MONADELPHOUS GROUP LTD,ASX,MND,0%,0%,0%,0.05520997%
NINE ENTERTAINMENT CO HOLDINGS LTD,ASX,NEC,0.22%,0%,0%,0.09780555%
G8 EDUCATION LTD,ASX,GEM,0.08%,0%,0%,0%
STEADFAST GROUP LTD,ASX,SDF,0.59%,3.72%,1.27%,0.23791121%
Woolworths Group Ltd,ASX,WOW,0%,3.39%,1.31%,1.64017775%
AUSTRALIAN AGRICULTURAL COMPANY LT,ASX,AAC,0.02%,0%,0%,0%
LOVISA HOLDINGS LTD,ASX,LOV,0%,0%,0%,0.08266272%
BRICKWORKS LTD,ASX,BKW,0%,0%,0%,0.09418772%
GPT GROUP STAPLED UNITS,ASX,GPT,0.81%,0%,1.31%,0.36431536%
NETWEALTH GROUP LTD,ASX,NWL,0%,0%,0%,0.10580245%
YANCOAL AUSTRALIA LTD,ASX,YAL,0%,0%,0%,0.07146558%
CHARTER HALL RETAIL REIT,ASX,CQR,0%,0%,0%,0.07797588%
Qube Holdings Ltd,ASX,QUB,0%,4.12%,1.35%,0.24315325%
AUDINATE GROUP LTD,ASX,AD8,0%,0%,0%,0.06416755%
NRW HOLDINGS LTD,ASX,NWH,0%,0%,0%,0.05210212%
TABCORP HOLDINGS LTD,ASX,TAH,0%,0%,0%,0.07398175%
REA GROUP LTD,ASX,REA,0.93%,0%,1.25%,0.38983659%
EMERALD RESOURCES,ASX,EMR,0.17%,0%,0%,0.07220626%
Jb Hi-Fi Ltd,ASX,JBH,0%,0%,1.36%,0.29812899%
Agl Energy Ltd,ASX,AGL,0%,0%,1.28%,0.22424453%
CHAMPION IRON LTD,ASX,CIA,0.27%,0%,0%,0.11087411%
Woodside Energy Group Ltd,ASX,WDS,0%,0%,1.3%,2.47640202%
TECHNOLOGY ONE LTD,ASX,TNE,0%,0%,0%,0.20220197%
GUD HOLDINGS LTD,ASX,GUD,0%,0%,0%,0.06699375%
QBE INSURANCE GROUP LTD,ASX,QBE,2.62%,0%,1.39%,1.17231115%
GQG PARTNERS INC,ASX,GQG,0%,0%,0%,0.07575153%
Aristocrat Leisure Ltd,ASX,ALL,0%,0%,1.17%,1.00539215%
AUCKLAND INTERNATIONAL AIRPORT,ASX,AIA,0%,0%,0%,0.09393789%
NORTHERN STAR RESOURCES LTD,ASX,NST,1.64%,0%,1.38%,0.7418248%
NEXTDC LTD,ASX,NXT,0.86%,0%,1.29%,0.35665295%
CENTURIA INDUSTRIAL REIT,ASX,CIP,0%,0%,0%,0.07883693%
NICKEL INDUSTRIES LTD,ASX,NIC,0%,0%,0%,0.06511572%
Coles Group Ltd,ASX,COL,0%,0%,1.3%,0.92576262%
FORTESCUE LTD,ASX,FMG,4.09%,0%,1.25%,1.71235864%
NEUREN PHARMACEUTICALS LTD,ASX,NEU,0.23%,0%,0%,0.10158318%
Whitehaven Coal Ltd,ASX,WHC,0%,0%,1.28%,0.23954909%
Seek Ltd,ASX,SEK,0%,0%,1.19%,0.34122344%
BLOCK INC,ASX,SQ2,0%,0%,0%,0.16326839%
Cleanaway Waste Management Ltd,ASX,CWY,0%,0%,1.35%,0.24163188%
PERENTI LTD,ASX,PRN,0.07%,0%,0%,0%
